Using device: cuda
Train samples: 26
Val samples: 8
Input channels: 633
Epoch 239 | train loss=0.9321, train IoU=0.1611 | val loss=1.0001, val IoU=0.0000
Epoch 240 | train loss=0.9287, train IoU=0.2136 | val loss=1.0001, val IoU=0.0000
Epoch 241 | train loss=0.9287, train IoU=0.2109 | val loss=1.0001, val IoU=0.0000
Epoch 242 | train loss=0.9280, train IoU=0.2146 | val loss=1.0001, val IoU=0.0000
Epoch 243 | train loss=0.9282, train IoU=0.2158 | val loss=1.0001, val IoU=0.0000
Epoch 244 | train loss=0.9296, train IoU=0.1379 | val loss=1.0001, val IoU=0.0000
Epoch 245 | train loss=0.9295, train IoU=0.2108 | val loss=1.0001, val IoU=0.0000
Epoch 246 | train loss=0.9293, train IoU=0.1392 | val loss=1.0001, val IoU=0.0000
Epoch 247 | train loss=0.9280, train IoU=0.1450 | val loss=1.0001, val IoU=0.0000
Epoch 248 | train loss=0.9280, train IoU=0.2161 | val loss=1.0001, val IoU=0.0000
Epoch 249 | train loss=0.9286, train IoU=0.2102 | val loss=1.0001, val IoU=0.0000
Epoch 250 | train loss=0.9291, train IoU=0.2117 | val loss=1.0001, val IoU=0.0000
Epoch 251 | train loss=0.9302, train IoU=0.2057 | val loss=1.0001, val IoU=0.0000
Epoch 252 | train loss=0.9285, train IoU=0.1425 | val loss=1.0001, val IoU=0.0000
Epoch 253 | train loss=0.9283, train IoU=0.2133 | val loss=1.0001, val IoU=0.0000
Epoch 254 | train loss=0.9281, train IoU=0.2136 | val loss=1.0001, val IoU=0.0000
Epoch 255 | train loss=0.9280, train IoU=0.2140 | val loss=1.0001, val IoU=0.0000
Epoch 256 | train loss=0.9282, train IoU=0.2122 | val loss=1.0001, val IoU=0.0000
Epoch 257 | train loss=0.9280, train IoU=0.2139 | val loss=1.0001, val IoU=0.0000
Epoch 258 | train loss=0.9287, train IoU=0.1404 | val loss=1.0001, val IoU=0.0000
Epoch 259 | train loss=0.9318, train IoU=0.1330 | val loss=1.0001, val IoU=0.0000
Epoch 260 | train loss=0.9308, train IoU=0.2007 | val loss=1.0001, val IoU=0.0000
Epoch 261 | train loss=0.9313, train IoU=0.1328 | val loss=1.0001, val IoU=0.0000
Epoch 262 | train loss=0.9304, train IoU=0.2056 | val loss=1.0003, val IoU=0.0000
Epoch 263 | train loss=0.9305, train IoU=0.2019 | val loss=1.0001, val IoU=0.0000
Epoch 264 | train loss=0.9415, train IoU=0.1383 | val loss=1.0005, val IoU=0.0000
Epoch 265 | train loss=0.9426, train IoU=0.1219 | val loss=1.0003, val IoU=0.0000
Epoch 266 | train loss=0.9645, train IoU=0.0611 | val loss=1.0009, val IoU=0.0000
Epoch 267 | train loss=0.9651, train IoU=0.1068 | val loss=1.0043, val IoU=0.0000
Epoch 268 | train loss=0.9661, train IoU=0.0885 | val loss=1.0002, val IoU=0.0000
Epoch 269 | train loss=0.9781, train IoU=0.0668 | val loss=1.0009, val IoU=0.0000
Epoch 270 | train loss=0.9523, train IoU=0.0640 | val loss=1.0007, val IoU=0.0000
Epoch 271 | train loss=0.9402, train IoU=0.1060 | val loss=1.0003, val IoU=0.0000
Epoch 272 | train loss=0.9398, train IoU=0.1780 | val loss=1.0002, val IoU=0.0000
Epoch 273 | train loss=0.9355, train IoU=0.1585 | val loss=1.0005, val IoU=0.0000
Epoch 274 | train loss=0.9363, train IoU=0.1227 | val loss=1.0001, val IoU=0.0000
Epoch 275 | train loss=0.9327, train IoU=0.1681 | val loss=1.0001, val IoU=0.0000
Epoch 276 | train loss=0.9326, train IoU=0.1606 | val loss=1.0001, val IoU=0.0000
Epoch 277 | train loss=0.9306, train IoU=0.1717 | val loss=1.0001, val IoU=0.0000
Epoch 278 | train loss=0.9299, train IoU=0.1726 | val loss=1.0001, val IoU=0.0000
Epoch 279 | train loss=0.9297, train IoU=0.1168 | val loss=1.0001, val IoU=0.0000
Epoch 280 | train loss=0.9295, train IoU=0.1747 | val loss=1.0001, val IoU=0.0000
Epoch 281 | train loss=0.9293, train IoU=0.1756 | val loss=1.0001, val IoU=0.0000
Epoch 282 | train loss=0.9297, train IoU=0.1707 | val loss=1.0001, val IoU=0.0000
Epoch 283 | train loss=0.9290, train IoU=0.1770 | val loss=1.0001, val IoU=0.0000
Epoch 284 | train loss=0.9288, train IoU=0.1737 | val loss=1.0001, val IoU=0.0000
Epoch 285 | train loss=0.9285, train IoU=0.1779 | val loss=1.0001, val IoU=0.0000
Epoch 286 | train loss=0.9286, train IoU=0.1760 | val loss=1.0001, val IoU=0.0000
Epoch 287 | train loss=0.9284, train IoU=0.2146 | val loss=1.0001, val IoU=0.0000
Epoch 288 | train loss=0.9289, train IoU=0.1043 | val loss=1.0001, val IoU=0.0000
Epoch 289 | train loss=0.9284, train IoU=0.1785 | val loss=1.0001, val IoU=0.0000
Epoch 290 | train loss=0.9295, train IoU=0.2054 | val loss=1.0001, val IoU=0.0000
Epoch 291 | train loss=0.9282, train IoU=0.2160 | val loss=1.0001, val IoU=0.0000
Epoch 292 | train loss=0.9286, train IoU=0.1179 | val loss=1.0001, val IoU=0.0000
Epoch 293 | train loss=0.9290, train IoU=0.2117 | val loss=1.0001, val IoU=0.0000
